Country,Latitude,Longitude,Country_Index,OECD,Child_marriage_Law,Child_marriage_Practice,Household_responsibilities_Law,Divorce_Law,Violence_against_women_Law,Female_genital_mutilation_Law,Reproductive_autonomy_Law,Secure_access_to_land_assets_Law,Access_to_non-land_assets_Law,Secure_access_to_formal_financial services_Law,Workplace_rights_Law,Citizenship_rights_Law,Political_voice_Law,Political_voice_Practice,Freedom_of_movement_Law,Access_to_justice_Law
Georgia,42.315407,43.356892,88,0,0.5,1,0.5,0.25,0.75,1,0,0.25,0.25,0.25,0.75,0,0.25,16,0,0
Ghana,7.946527,-1.023194,89,0,0.5,1,0.5,0.75,0.75,0.25,0.25,0.25,0.5,0,0.75,0,0.5,12.7,0,0.25
Grenada,12.262776,-61.604171,90,0,0.5,0,0.75,0.75,0.75,1,0.75,0,0,0.25,0.75,0.25,0.5,33.3,0.75,0.25
Guatemala,15.783471,-90.230759,91,0,0.25,1,0.5,0,0.75,1,0.75,0.25,0.25,0.25,0,0.75,0.25,12.7,0,0
Guinea,9.945587,-9.696645,92,0,1,1,1,1,0.75,0.25,0.5,0.25,0,0.25,1,1,0,21.9,0,0.25
Guinea-Bissau,11.803749,-15.180413,93,0,0.5,1,0.75,0.5,0.75,0.75,1,1,1,1,1,0,0.5,13.7,0,0.25
Guyana,4.860416,-58.93018,94,0,0.5,0,0.5,0,0.75,1,0,0.25,0.25,0.25,0.25,0,0.25,31.9,0.75,0
Haiti,18.971187,-72.285215,95,0,1,1,0.5,0,0.75,1,1,0.25,0.25,0,0,1,0.25,2.5,0.75,0
Honduras,15.199999,-86.241905,96,0,0.5,1,0.5,0,0.25,1,1,0.25,0,0.25,1,0,0,21.1,0,0
Hong Kong,22.396428,114.109497,97,0,0.5,0,0.5,0,0.75,1,0.25,0,0,0,0.75,0,0.5,14.7,0,0
India,20.593684,78.96288,98,0,0.5,1,0.5,0.5,0.5,1,0.25,0.25,0.25,0.25,1,0,0.25,11.8,0,0.25
Indonesia,-0.789275,113.921327,99,0,0.5,1,0.75,0.25,0.75,1,0.5,0.5,0.25,0.25,0.75,0,0.25,19.8,0.25,1
Iran,32.427908,53.688046,100,0,0.75,1,1,1,0.75,1,0.75,0,0,0,1,1,0.5,5.9,1,0.75
Iraq,33.223191,43.679291,101,0,0.5,1,1,1,0.75,1,0.75,0.25,0.25,0,1,0.75,0.25,25.3,0.75,0.75
Jamaica,18.109581,-77.297508,102,0,0.75,1,0.5,0.25,0.75,1,0.75,0.25,0,0.25,0.75,0,0.5,17.5,0,0
Jordan,30.585164,36.238414,103,0,0.5,1,1,1,0.75,1,0.75,0.25,0.25,0.25,1,0.75,0.25,15.4,1,0.75
Kazakhstan,48.019573,66.923684,104,0,0.5,1,0.5,0,0.75,1,0,0.25,0.25,0.25,1,0,0.5,27.1,0,0.25
Kenya,-0.023559,37.906193,105,0,0.25,1,0.5,0.5,0.5,0.25,0.75,0.5,0.5,0.25,0.25,0,0.25,21.8,0,0.25
Kuwait,29.31166,47.481766,106,0,0.75,1,0.75,0.75,0.75,1,0.75,1,1,0.5,1,1,0.5,3.1,0.5,0.75
Kosovo,42.602636,20.902977,107,0,0.5,1,0.5,0,0.75,1,0,0.25,0,0,0,0,0.25,31.7,0,0
Kyrgyzstan,41.20438,74.766098,108,0,0.5,1,0.5,0,0.75,1,0,0.25,0.25,0,1,0,0,19.2,0,0
Laos,19.85627,102.495496,109,0,0.25,1,0.5,0.25,0.25,1,0.75,0,0,0.25,1,0,0.5,27.5,0,0.75
Lebanon,33.854721,35.862285,110,0,0.75,1,1,1,0.75,1,0.75,0.5,0.25,0.25,1,1,0.5,3.1,0,0.75
Lesotho,-29.609988,28.233608,111,0,0.5,1,0.5,0.5,0.75,1,0.5,0.25,0.5,0.5,1,0.75,0.25,22.1,0,0
Liberia,6.428055,-9.429499,112,0,0.5,1,0.75,0.75,0.75,1,0.25,0.5,0.5,0.25,0.25,0.75,0.25,9.9,0,0.75
Libya,26.3351,17.228331,113,0,0.5,0,0.75,0.25,0.75,1,0.75,0.25,0.25,0,1,0.75,0.25,16,0.25,0.75
